,Star_name,Sp_T,V,B_V,Name,Model,STIS,Var_(%),RA,Decl,Vr,PM,PM,Simbad_Name,Alt_Simbad_Name,Astroquery_Name,HD_name,Alt_Star_name
0,109 VIR,A0III,3.73,-0.01,109vir,_mod_003,_stis_003,,14 46 14.925,+01 53 34.38,-6.1,-114.03,-22.13,HD130109,,* 109 VIR,HD130109,
1,10 LAC,O9V,4.88,-0.21,10lac,_mod_005,_stis_007,<0.23,22 39 15.679,+39 03 00.97,-10.0,-0.32,-5.46,,,*  10 LAC,HD214680,
2,16 CYG B,G3V,6.20,0.66,16cygb,_mod_003,_stis_003,<0.21,19 41 51.973,+50 31 03.09,-27.7,-134.79,-162.49,HD186427,,*  16 CYG B,HD186427,
3,18 SCO,G2V,5.50,0.65,18sco,_mod_004,_stis_004,,16 15 37.270,-08 22 09.98,11.9,232.16,-495.37,HD146233,,*  18 SCO,HD146233,
4,1732526,A4V,12.53,0.12,1732526,_mod_005,_stisnic_007,1.40,17 32 52.630,+71 04 43.12,,0.22,-2.71,2MASS J17325264+7104431,TYC 4424-1286-1,TYC 4424-1286-1,,
5,1740346,A6V,12.48,0.20,1740346,,_stisnic_005,,17 40 34.679,+65 27 14.77,,-5.72,-3.44,2MASS J17403468+6527148,TYC 4207-219-1,TYC 4207-219-1,,
6,1743045,A8III,13.52,0.28,1743045,_mod_005,_stisnic_007,<1.32,17 43 04.486,+66 55 01.66,,1.1,-2.79,2MASS J17430448+6655015,,2MASS J17430448+6655015,,
7,1757132,A3V,12.01,-0.10,1757132,_mod_005,_stiswfc_004,<0.37,17 57 13.233,+67 03 40.77,,0.41,-14.03,2MASS J17571324+6703409,TYC 4212-455-1,TYC 4212-455-1,,
8,1802271,A2V,11.53,0.02,1802271,_mod_005,_stiswfcnic_004,<0.82,18 02 27.163,+60 43 35.54,,5.4,2.17,2MASS J18022716+6043356,TYC 4201-1542-12,BPS BS 17447-0067,,
9,1805292,A4V,12.28,0.14,1805292,_mod_004,_stisnic_006,<0.49,18 05 29.275,+64 27 52.13,,-1.64,10.06,2MASS J18052927+6427520,TYC 4209-1396-1,TYC 4209-1396-1,,
10,1808347,A3V,11.69,0.49,1808347,_mod_005,_stiswfc_004,1.65,18 08 34.736,+69 27 28.72,,4.43,8.52,2MASS J18083474+6927286,TYC 4433-1800-1,TYC 4433-1800-1,,
11,1812095,A3V,12.01,-0.07,1812095,_mod_004,_stisnic_006,1.57,18 12 09.567,+63 29 42.26,,4.07,1.31,2MASS J18120957+6329423,TYC 4205-1677-1,TYC 4205-1677-1,,
12,2M0036+18,L3.5,J=12.47,...,2m003618,,_stiswfcnic_006,,00 36 16.112,+18 21 10.29,19.0,901.56,124.02,2MASS J00361617+1821104,,LSPM J0036+1821,,
13,2M0559-14,T4.5,J=13.80,...,2m055914,,_stiswfcnic_005,,05 59 19.188,-14 04 49.22,,570.2,-337.59,2MASS J05591914-1404488,,2MASS J05591914-1404488,,
14,AGK+81 266,sdO,11.95,-0.36,agk_81d266,,_stisnic_007*,,09 21 19.177,+81 43 27.63,,-11.26,-51.26,,,AG+81  266,,
15,ALPHA LYR,A0V,0.031,0.00,alpha_lyr,_mod_004,_stis_011*,,18 36 56.336,+38 47 01.28,-21.0,200.94,286.23,Vega,HD172167,* ALF LYR,HD172167,
16,BD+02 3375,A5,9.93,0.45,bd02d3375,_mod_003,_stis_006,,17 39 45.595,+02 24 59.61,-398.0,-366.01,75.12,,,BD+02  3375,,
17,BD-11 3759,M3.5V,11.32,1.60,bd11d3759,,_stis_003,,14 34 16.812,-12 31 10.42,-1.0,-355.04,593.22,,,BD-11  3759,,
18,BD+21 0607,F2,9.22,0.44,bd21d0607,_mod_003,_stis_006,,04 14 35.516,+22 21 04.25,340.0,425.99,-301.87,HD284248,,HD 284248,HD284248,
19,BD+26 2606,A5,9.73,0.39,bd26d2606,_mod_003,_stis_006,,14 49 02.355,+25 42 09.14,33.0,-5.88,-347.6,,,BD+26  2606,,
20,BD+29 2091,F5,10.22,0.50,bd29d2091,_mod_003,_stis_006,,10 47 23.163,+28 23 55.93,83.0,177.5,-824.83,,,BD+29  2091,,
